Name,Video link,Style,Dist,TT,TA,T50,A50,T100,A100,T150,A150,T200,A200,T250,A250,Additions,,ST_K,ST_WK,ST_DK,TW,TK,TDK
MALINA Mateusz,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=9663.69,one kick,239,04:25,35,00:52,7.5,01:50,8,02:47,9,03:43,10.5,-,10,,,1,0,0,5,35,0
CHAN Kai-Hsiang,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=9292.526563,"one kick, strong dolphin on the arm pull",235.5,04:35,20.5,00:53,5,01:52,5,02:53,5,03:53,5.5,-,5,,,1,0,1,5,20.5,20.5
KUBIAK Piotr,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=7254.23,one kick,225.5,03:59,25,00:56,6,01:54,5.5,02:45,6.5,03:35,7,-,5,,,1,0,0,5,25,0
BOURDILA Guillaume,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=8942.05,"one kick, extra kick after wall push, small dolphin on the arm pull",221.5,04:20,18,00:58,4.5,02:01,4.5,03:06,4.5,04:09,4.5,-,2,,,1,1,0.5,5,23,9
QUESADA Francisco,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=8581.24,"one kick, small dolphin on the arm pull",207.5,03:27,21.5,00:47,5,01:39,5,02:30,5.5,03:21,6,-,1,,,1,0,0.5,5,21.5,10.75
PELES Vanja,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=9663.69,"one kick, small dolphin on the arm pull",203.5,03:37,26.5,00:55,5.5,01:51,5.5,02:45,6.5,03:35,9,-,0,,,1,0,0.5,4,26.5,13.25
ELU Olivier,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=8222.049999,"one kick, extra kick after push",203,03:41,23,00:52,5.5,01:49,5.5,02:46,6,03:40,6,-,0.5,,,1,1,0,5,28,0
CERIMAGIC Enes,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=6354.157084,"one kick, extra kick after push",202,03:41,35,00:55,6,01:52,8,02:49,9,03:41,12,-,0.5,,,1,1,0,5,40,0
PAVKOVIC Nenad,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=7852.04,"three kicks, extra 3 kicks after wall push",200,03:37,14,00:57,2.5,01:57,3,02:50,2.5,03:37,6,,,"switched to 2 leg kicks, than 1 at the end",,3,3,0,4,54,0
BRIANTSEV Mikhail,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=7558.04,one kick,195,03:49,29,00:53,7.5,01:56,6.5,02:56,7,-,8,,,,,1,1,0,4,33,0
LEE Po-Yen,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=8581.24,two kicks,185,03:24,22.5,00:50,6,01:47,5.5,02:45,6,-,5,,,,,2,0,0,4,45,0
MILOSIC Boris,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=8942.05,"two kicks, two extra kicks after wall push",182,03:38,18.5,01:09,4,02:15,5,03:15,5.5,-,4,,,,,2,2,0,4,45,0
BOCHENEK Michal,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=6649.914619,one kick,180.5,03:40,24,00:58,5.5,02:01,6.5,03:02,7,-,5,,,,,1,0,0,4,24,0
SOPRONYI Andras,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=7254.23,one kick,180.5,03:19,25.5,00:55,6.5,01:51,6.5,02:47,6.5,-,6,,,,,1,0,0,4,25.5,0
RULAND Fernando,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=6060.311476,one kick,175.5,03:23,25.5,00:58,5.5,01:58,7,02:56,8,-,5,,,,,1,0,0,4,25.5,0
MAKSIMOV Aleksandr,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=7558.04,one kick,175.5,03:44,30.5,00:59,7.5,02:04,8.5,03:09,9.5,-,5,,,,,1,0,0,4,30.5,0
DE WET Anton,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=4856.78,one kick,168,03:26,26,00:58,8,02:00,7,03:05,8,-,3,,,,,1,0,0,4,26,0
GENERALI Mauro,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=7852.04,"three kicks, extra 3 kicks after wall push",167,03:32,12,01:01,3.5,02:04,3.5,03:07,4,-,1,,,,,3,3,0,4,48,0
NYMO Carl-Oscar,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=5757.83253,one kick,165,03:23,20.5,00:58,5.5,02:01,6.5,03:07,6.5,-,2,,,,,1,0,0,4,20.5,0
KIM Hakyong,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=6649.914619,one kick,164,03:17,36.5,00:58,10,02:00,10.5,03:03,12,-,4,,,,,1,0,0,4,36.5,0
SADAN Valentin,https://tv.cmas.org/sportitem/68234fc9a298818ef67e4329?currenttime=3900.93,two kicks,132,02:27,23.5,00:50,8,01:46,8.5,-,7,,,,,,,1,0,0,3,,